,travel_1,comserexp_1,pop_1,real_gni_pc_1,real_travel_mil_1,rtrend_dev_travel_1,arrivals_2,travel_2,comserexp_2,pop_2,real_gni_pc_2,real_travel_mil_2,rtrend_dev_travel_2,diff_gni,mega_past_2,r1,r2
10,,,0.3964491982391599,-0.1118457862703649,,,-0.5380079020332854,-1.2829835006970418,-0.45070970026126544,0.5544105943686024,-0.6287092351726545,-0.4807105831901517,-0.21083503154414107,0.1118457862279902,0.0,0,1
11,,,-0.2393595838828213,,,,-0.15043259440801132,0.3697295259937002,-0.3645642442455012,-0.27996934849047056,-0.39193446542185034,-0.2918889991420357,-0.22300168696764086,,0.0,0,1
12,,,-0.2839929435586228,,,,-0.5336302866183973,0.5529485504523844,-0.4408897631911311,-0.30311504652267,-0.43506448869726566,-0.44219163159248864,-0.21163142755865721,,1.0,0,1
13,,,-0.23333933541162966,,,,-0.5466849611592244,-1.3427413754462334,-0.4180177646423552,-0.2676536937848928,-0.41033473330303327,-0.46429896921358565,-0.047919060621842376,,0.0,0,1
14,,,-0.275196501550419,-0.11184426403370847,,,-0.512914785101516,0.5286520336122635,-0.4533000067593382,-0.2699203474950378,-0.5693440422034087,-0.46769335180082017,-0.19235625546138913,0.11184426399460534,0.0,0,1
15,-1.3944082136918787,-0.35208590839049325,0.7030947505989715,9.163453110676436,,,-0.16145480464906894,-0.7918606781231745,-0.13177352111889376,0.8252135797146867,-0.3414946302034433,-0.1771039692496545,-0.17092259472919863,-9.163453110675743,0.0,0,1
16,,,-0.30233792319726466,-0.11184578626998384,,,-0.552547838947021,,,-0.30197512198452997,-0.6372134839847593,,,0.11184578622714049,0.0,0,0
17,0.396143468454827,0.3245176928765564,-0.10358310705732797,-0.11184578619909812,-0.10044195855078188,-0.0030805446570748808,0.874163927787323,-0.7533369839689443,0.6234736568796777,-0.12818636747247988,1.594724211873432,0.4900300837361927,-0.06552300869897805,0.11184578627925477,1.0,1,1
18,,,-0.2617866151401328,-0.11184578622107365,,,0.06102186447185285,-0.9755727630495886,0.5299563311175478,-0.28154195403015114,3.1304618050189714,0.27130228961401465,-0.18517086240394445,0.11184578638586339,0.0,0,1
19,0.007150446787438598,-0.5175502801740137,-0.22494733639250922,-0.11184578464585926,2.6518534157556646,5.108262846255065,-0.3775213940553331,-1.1742957898105626,-0.31970919616988314,-0.2265234139166009,-0.19908191425337707,-0.39848342231689204,0.20730198646283418,0.11184578462716092,0.0,1,1
20,,,8.320410291814788,-0.11184578627095075,,,3.3481420108298154,-0.1922480562018733,1.2194135624674884,7.683040145927336,-0.5219964535716806,2.03538737191644,0.8834730660421718,0.11184578623445689,0.0,0,1
21,-0.6680405491489917,-0.5310871809571838,-0.2566062463227926,-0.11184578626250685,-0.5385996283602922,-0.344679528100588,,-1.2901184889115713,-0.4488028771463091,-0.2142134379201882,-0.6044164602430795,-0.48003323066151543,-0.20776369376973816,0.11184578622147091,0.0,1,0
